id;code;date;details;status;payment_method;payment_date;payment_amount;order_id
1;Texas Concrete;2020-07-14T10:39:12;capability Loop Unbranded Frozen Towels;CANCELLED;CREDIT_CARD;2020-07-13T22:31:54;75071;1
2;Rhode Island bypassing SQL;2020-07-14T01:27:16;Frozen online streamline;ISSUED;CREDIT_CARD;2020-07-14T17:14:22;68011;2
3;lime program;2020-07-13T20:42:19;parse Horizontal Shirt;ISSUED;PAYPAL;2020-07-13T21:32:52;82892;3
4;Buckinghamshire Director Gloves;2020-07-14T01:13:02;Malagasy Ariary Dynamic;CANCELLED;CREDIT_CARD;2020-07-13T17:48:03;33894;4
5;attitude-oriented;2020-07-14T03:41:10;Integration structure;CANCELLED;PAYPAL;2020-07-14T05:48:40;72584;5
6;Internal Licensed Steel Towels RSS;2020-07-14T10:17:20;Chips;PAID;CREDIT_CARD;2020-07-14T11:13:00;90614;6
7;Toys Cotton;2020-07-14T02:46:41;Small Rubber Pants Brand Savings Account;ISSUED;CASH_ON_DELIVERY;2020-07-14T00:30:05;42722;7
8;Arizona Barbados Dollar;2020-07-14T11:16:23;tan Cambridgeshire Rubber;ISSUED;CREDIT_CARD;2020-07-14T08:19:51;44406;8
9;Generic Ethiopian Birr Assurance;2020-07-13T23:45:14;Arizona navigating navigating;ISSUED;CASH_ON_DELIVERY;2020-07-14T07:40:44;93110;9
10;Concrete;2020-07-14T16:29:00;paradigms system;PAID;CREDIT_CARD;2020-07-13T18:55:12;93817;10
