id;placed_date;status;code;customer_id
1;2020-07-14T09:24:46;COMPLETED;Georgia calculate withdrawal;1
2;2020-07-13T20:21:16;COMPLETED;compress Steel out-of-the-box;2
3;2020-07-13T21:52:28;PENDING;Concrete;3
4;2020-07-14T11:18:23;CANCELLED;Investment Account;4
5;2020-07-13T22:35:13;PENDING;United States of America;5
6;2020-07-14T12:47:17;CANCELLED;IB Industrial Credit Card Account;6
7;2020-07-14T15:53:42;CANCELLED;Cotton Egyptian Pound;7
8;2020-07-14T00:49:46;COMPLETED;Home Loan Account;8
9;2020-07-14T09:44:02;COMPLETED;Human;9
10;2020-07-13T19:52:40;CANCELLED;payment;10
